iter	RMSE
408	4.259761736
409	4.258598184
410	4.256485902
411	4.256309743
412	4.255190825
413	4.252220071
414	4.246784205
415	4.243000211
416	4.239031633
417	4.236205241
418	4.2326872
419	4.229333168
420	4.225813747
421	4.224577223
422	4.22141484
423	4.220422172
424	4.217084019
425	4.215666341
426	4.213319592
427	4.209268913
428	4.205408199
429	4.202682623
430	4.199322955
431	4.196582774
432	4.193580147
433	4.189936595
434	4.18851022
435	4.186974534
436	4.181632224
437	4.178625059
438	4.175765548
439	4.173082676
440	4.172294704
441	4.168859123
442	4.167191498
443	4.16397604
444	4.160197828
445	4.157316064
446	4.153922043
447	4.150279936
448	4.150180782
449	4.147844782
450	4.145778429
451	4.144925595
452	4.141345588
453	4.138777501
454	4.134467557
455	4.133678759
456	4.130642182
457	4.129681199
458	4.126471406
459	4.125019471
460	4.12155756
461	4.118210661
462	4.116843841
463	4.11329025
464	4.109200637
465	4.108449593
466	4.107198365
467	4.105180467
468	4.102240476
469	4.097851457
470	4.097371674
471	4.094034672
472	4.090714245
473	4.09060199
474	4.089728637
475	4.087390382
476	4.08487136
477	4.083333569
478	4.08037497
479	4.078621208
480	4.075105229
481	4.070681126
482	4.070106
483	4.066874879
484	4.064186462
485	4.061197032
486	4.060383816
487	4.059798714
488	4.056406267
489	4.054100789
490	4.050847277
491	4.04813857
492	4.045480562
493	4.041971132
494	4.040159429
495	4.037812381
496	4.036012307
497	4.033153903
498	4.031485604
499	4.030417372
500	4.029635005
501	4.026277273
502	4.022686997
503	4.020524588
504	4.01855483
505	4.015048608
506	4.012267888
507	4.009885953
508	4.007851936
509	4.004535263
510	4.003451457
511	4.000992407
512	4.000302074
513	4.000136712
514	3.997778262
515	3.997338338
516	3.993744767
517	3.990574395
518	3.987407738
519	3.985314492
520	3.984388219
521	3.983015135
522	3.979916019
523	3.978839814
524	3.976307161
525	3.972679804
526	3.969601432
527	3.96773179
528	3.967010062
529	3.966887275
530	3.96610966
531	3.963507961
532	3.963021648
533	3.959767068
534	3.959263076
535	3.956613142
536	3.954682199
537	3.95181036
538	3.949954283
539	3.949372327
540	3.946216801
541	3.944414887
542	3.942627038
543	3.938436217
544	3.935787458
545	3.933799789
546	3.932598508
547	3.929745165
548	3.927981614
549	3.924987565
550	3.924226714
551	3.921708516
552	3.919731099
553	3.917504652
554	3.914069369
555	3.913240727
556	3.910346889
557	3.907843425
558	3.907401277
559	3.9034402
560	3.90235179
561	3.899655963
562	3.897292691
563	3.895485749
564	3.894594497
565	3.89119384
566	3.888276475
567	3.884960603
568	3.884658328
569	3.882298906
570	3.87976761
571	3.876775464
572	3.874470851
573	3.8723438
574	3.868494937
575	3.865329908
576	3.862993055
577	3.861710679
578	3.858387915
579	3.855218184
580	3.852996484
581	3.850916549
582	3.847065594
583	3.843947334
584	3.841213572
585	3.839321395
586	3.83878556
587	3.835333929
588	3.833883549
589	3.831225729
590	3.829400519
591	3.828100918
592	3.827531589
593	3.826492873
594	3.823891757
595	3.821007986
596	3.820083572
597	3.818345457
598	3.816247349
599	3.815668536
600	3.814392445
601	3.811331136
602	3.809238884
603	3.808555086
604	3.807572038
605	3.804682947
606	3.801488404
607	3.800449454
608	3.799901773
609	3.797377829
610	3.795704828
611	3.793483632
612	3.790691363
613	3.788426346
614	3.785519353
615	3.782620339
616	3.78035171
617	3.779682175
618	3.778255865
619	3.775297469
620	3.77400878
621	3.772691069
622	3.770385451
623	3.76802113
624	3.765332774
625	3.762781428
626	3.761862626
627	3.761041996
628	3.759660894
629	3.757581543
630	3.756576627
631	3.754608378
632	3.752952898
633	3.749847427
634	3.745252213
635	3.744586469
636	3.742854311
637	3.741298157
638	3.738495079
639	3.738021717
640	3.734723034
641	3.731587373
642	3.729385943
643	3.729078255
644	3.726510484
645	3.724386243
646	3.721960924
647	3.720092652
648	3.718057832
649	3.715540006
650	3.713595159
651	3.710922903
652	3.708294115
653	3.705107148
654	3.702931616
655	3.702831778
656	3.699956939
657	3.697620366
658	3.694150994
659	3.691783507
660	3.690411243
661	3.689980597
662	3.688092402
663	3.686348247
664	3.684916375
665	3.682165906
666	3.679124698
667	3.677631634
668	3.675601115
669	3.673833376
670	3.671699432
671	3.671254859
672	3.669968746
673	3.668274313
674	3.666118838
675	3.665600604
676	3.664374766
677	3.661081915
678	3.660735149
679	3.66066486
680	3.659124219
681	3.657859108
682	3.655677285
683	3.654449408
684	3.652419029
685	3.650331228
686	3.650027981
687	3.648216009
688	3.647116869
689	3.645360394
690	3.642238963
691	3.637797987
692	3.635679714
693	3.633042232
694	3.629479557
695	3.628560709
696	3.626790292
697	3.625080845
698	3.622146975
699	3.621416513
700	3.62012018
701	3.619461322
702	3.619058712
703	3.617310424
704	3.615781974
705	3.614584816
706	3.612667169
707	3.611433746
708	3.608651153
709	3.607125653
710	3.604096082
711	3.601962213
712	3.601627556
713	3.600524666
714	3.599772635
715	3.597854629
716	3.59614726
717	3.592443085
718	3.591511044
719	3.591150015
720	3.590008189
721	3.588996117
722	3.587965971
723	3.587575761
724	3.585998508
725	3.585425132
726	3.584288343
727	3.583940243
728	3.581464201
729	3.581204664
730	3.580833907
731	3.57835799
732	3.575151314
733	3.57415942
734	3.572723608
735	3.570549191
736	3.569148868
737	3.565462037
738	3.564520244
739	3.562718609
740	3.562350039
741	3.56086001
742	3.560094664
743	3.559785516
744	3.556346344
745	3.555857396
746	3.554511917
747	3.55328713
748	3.55153945
749	3.549018345
750	3.547836102
751	3.547505762
752	3.545179363
753	3.542916448
754	3.54102018
755	3.539414124
756	3.539336622
757	3.537554669
758	3.537019107
759	3.535555853
760	3.532576507
761	3.532176232
762	3.529284212
763	3.52666247
764	3.526479135
765	3.525018149
766	3.523637391
767	3.522110478
768	3.519569936
769	3.516865093
770	3.515455994
771	3.515346129
772	3.51506483
773	3.512966052
774	3.512720799
775	3.512149151
776	3.511897575
777	3.510125741
778	3.508045061
779	3.506849127
780	3.504279377
781	3.503933594
782	3.501330603
783	3.49959002
784	3.496226825
785	3.49405006
786	3.492376714
787	3.491743941
788	3.490813166
789	3.4906084
790	3.489493181
791	3.489247732
792	3.489011538
793	3.488785967
794	3.486279605
795	3.484967135
796	3.483165038
797	3.481842788
798	3.479705397
799	3.478452174
800	3.476881443
801	3.475492461
802	3.473136907
803	3.472067707
804	3.470577455
805	3.467341314
806	3.464721285
807	3.464449147
808	3.462814487
809	3.460302333
810	3.458482603
811	3.455965692
812	3.453994951
813	3.45125309
814	3.451108633
815	3.448993667
816	3.447409808
817	3.446720875
818	3.445386051
819	3.444060673
820	3.442353299
821	3.439703072
822	3.439534508
823	3.438551268
824	3.435366748
825	3.432245029
826	3.430808937
827	3.429141922
828	3.425272334
829	3.425116812
830	3.422861479
831	3.422228709
832	3.419967916
833	3.418171164
834	3.416911976
835	3.415656146
836	3.415306192
837	3.414873474
838	3.414368536
839	3.411496203
840	3.40979148
841	3.409249773
842	3.408392787
843	3.40593295
844	3.404249081
845	3.401898565
846	3.400599892
847	3.39945102
848	3.398021968
849	3.397042985
850	3.396941302
851	3.395619241
852	3.393858255
853	3.391970942
854	3.391466259
855	3.388484568
856	3.388374565
857	3.38670163
858	3.385566128
859	3.383823196
860	3.381553188
861	3.379896252
862	3.37861323
863	3.377573265
864	3.375621769
865	3.373595129
866	3.372134013
867	3.369890266
868	3.368963008
869	3.367197582
870	3.365713047
871	3.362732709
872	3.362385931
873	3.362153371
874	3.361945245
875	3.360679925
876	3.36015803
877	3.359013512
878	3.355893176
879	3.353969473
880	3.353093479
881	3.352859478
882	3.351190456
883	3.350381572
884	3.348767497
885	3.347936565
886	3.346169873
887	3.34430027
888	3.343290511
889	3.340381981
890	3.339649683
891	3.338190221
892	3.336292673
893	3.336106677
894	3.334348476
895	3.332683228
896	3.329816411
897	3.328903049
898	3.326974789
899	3.324101539
900	3.32279382
901	3.321606019
902	3.319995666
903	3.318443518
904	3.317158077
905	3.315906961
906	3.315553705
907	3.313314596
908	3.312313085
909	3.310882644
910	3.309697017
911	3.308992081
912	3.307570138
913	3.305442548
914	3.303463381
915	3.303386948
916	3.302424559
917	3.300257825
918	3.29764245
919	3.296002225
920	3.293286488
921	3.292296079
922	3.290979027
923	3.289075385
924	3.288290967
925	3.285858238
926	3.285109703
927	3.284154463
928	3.283491427
929	3.282795382
930	3.280326735
931	3.28013576
932	3.278203774
933	3.275207614
934	3.271858711
935	3.270778263
936	3.26933618
937	3.267344188
938	3.266392223
939	3.265612025
940	3.264282567
941	3.261779338
942	3.259586365
943	3.258031224
944	3.256693904
945	3.256509754
946	3.255130443
947	3.254473406
948	3.254371328
949	3.253112118
950	3.252418013
951	3.250843802
952	3.249312384
953	3.247077407
954	3.246979009
955	3.246244208
956	3.244052884
957	3.241451185
958	3.239369505
959	3.238257704
960	3.237083879
961	3.235190994
962	3.233355759
963	3.231786185
964	3.230100969
965	3.228816018
966	3.228206912
967	3.22648357
968	3.225827427
969	3.224772909
970	3.223861084
971	3.223659571
972	3.221592554
973	3.219813822
974	3.219589244
975	3.217684262
976	3.215342233
977	3.213992245
978	3.211096492
979	3.209756869
980	3.206660325
981	3.205536138
982	3.202999093
983	3.200953457
984	3.199870097
985	3.198823104
986	3.197350593
987	3.195426798
988	3.194444912
989	3.194156363
990	3.192185576
991	3.190726295
992	3.187989962
993	3.186398535
994	3.184873211
995	3.183917601
996	3.18263816
997	3.181643344
998	3.181073644
999	3.179468079
